epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.68863,1.93182,2.36527,1.39027,0.7831,0.73272,0.77102,0.3578,1.72886,1.972,1.22328,0.00018,0.00018,0.00018
2,5.42328,1.80902,1.28772,1.33254,0.80702,0.42396,0.63394,0.24865,1.92661,8.23704,1.48726,0.000376238,0.000376238,0.000376238
3,8.15654,1.678,1.238,1.29384,0.24044,0.40553,0.23809,0.09765,1.92393,14.1996,1.70255,0.000568516,0.000568516,0.000568516
4,10.8735,1.86121,1.37337,1.41934,0.67524,0.61751,0.68379,0.27555,1.96,2.69734,1.87327,0.000756834,0.000756834,0.000756834
5,13.5543,1.75492,1.22984,1.35022,0.66536,0.59447,0.64721,0.2751,2.0077,2.57491,1.8014,0.000941192,0.000941192,0.000941192
6,16.219,1.75347,1.21217,1.3748,0.51753,0.447,0.46795,0.1915,2.12767,2.15264,1.83226,0.00112159,0.00112159,0.00112159
7,18.8697,1.8432,1.26683,1.44692,0.61301,0.48848,0.54799,0.23929,1.99866,2.45348,1.78559,0.00129803,0.00129803,0.00129803
8,21.5476,1.74847,1.24796,1.37611,0.53894,0.42396,0.36579,0.1483,2.30469,2.31179,1.90804,0.00147051,0.00147051,0.00147051
9,24.2549,1.81714,1.22823,1.41767,0.15154,0.19816,0.07637,0.02562,2.98353,3.45129,3.48588,0.00163902,0.00163902,0.00163902
10,26.9076,1.85586,1.25948,1.47393,0.01303,0.01843,0.004,0.00154,3.83779,87.5146,33.9321,0.00180358,0.00180358,0.00180358
11,29.5351,1.74829,1.16009,1.36474,0,0,0,0,6.0691,13.7088,28.6485,0.001802,0.001802,0.001802
12,32.2011,1.75492,1.16108,1.41219,0.02066,0.14747,0.01187,0.00469,3.77178,10.9187,4.45128,0.0017822,0.0017822,0.0017822
13,34.8733,1.77856,1.17642,1.38573,0.47467,0.43305,0.39645,0.16064,2.25543,2.07337,1.74791,0.0017624,0.0017624,0.0017624
14,37.5431,1.68129,1.1099,1.35645,0.56125,0.42857,0.44643,0.21136,2.1385,1.85468,1.66895,0.0017426,0.0017426,0.0017426
15,40.1769,1.68804,1.06865,1.34845,0.69435,0.63134,0.69726,0.31278,1.92733,1.40184,1.50161,0.0017228,0.0017228,0.0017228
16,42.8147,1.69351,1.0662,1.35262,0.61281,0.6929,0.59334,0.27099,1.88265,1.78419,1.56626,0.001703,0.001703,0.001703
17,45.4662,1.7667,1.16505,1.41223,0.41763,0.59816,0.3666,0.15793,1.99827,2.27289,1.57712,0.0016832,0.0016832,0.0016832
18,48.1206,1.78216,1.12338,1.42214,0.38392,0.60593,0.34572,0.15681,1.83442,2.24117,1.52347,0.0016634,0.0016634,0.0016634
19,50.7989,1.72092,1.05848,1.37671,0.77747,0.64977,0.7242,0.32059,1.92116,1.55174,1.54375,0.0016436,0.0016436,0.0016436
20,53.4812,1.64012,1.07124,1.31359,0.65802,0.59908,0.66498,0.30353,1.89729,1.37665,1.47666,0.0016238,0.0016238,0.0016238
21,56.1481,1.66158,1.05335,1.34737,0.67794,0.65965,0.6962,0.33762,1.81651,1.44131,1.44187,0.001604,0.001604,0.001604
22,58.8189,1.66291,1.05654,1.35402,0.7968,0.74091,0.79636,0.36231,1.84727,1.33818,1.46595,0.0015842,0.0015842,0.0015842
23,61.5662,1.59053,0.97136,1.28847,0.80585,0.72685,0.78845,0.3897,1.743,1.25765,1.43238,0.0015644,0.0015644,0.0015644
24,64.3683,1.62153,1.027,1.3426,0.81532,0.71209,0.79631,0.3762,1.78883,1.20745,1.39592,0.0015446,0.0015446,0.0015446
25,67.0372,1.6614,1.03309,1.31685,0.81152,0.7235,0.80641,0.37183,1.8004,1.21932,1.38386,0.0015248,0.0015248,0.0015248
26,69.7326,1.61411,1.03066,1.30597,0.85364,0.70046,0.80932,0.38434,1.76548,1.33191,1.35865,0.001505,0.001505,0.001505
27,72.3561,1.53921,0.95799,1.27583,0.81787,0.77419,0.80264,0.36697,1.73457,1.25264,1.35517,0.0014852,0.0014852,0.0014852
28,74.9878,1.59173,0.94674,1.3153,0.74821,0.67099,0.73027,0.33716,1.83251,1.3569,1.47321,0.0014654,0.0014654,0.0014654
