epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,38.7807,1.50655,1.01892,1.15365,0.89192,0.74194,0.84846,0.4056,1.78763,0.98093,1.24691,0.0011882,0.0011882,0.0011882
43,39.6845,1.42542,0.94875,1.12297,0.79284,0.78802,0.84421,0.40885,1.77599,0.97784,1.23569,0.0011684,0.0011684,0.0011684
44,40.5869,1.46782,0.95467,1.16107,0.8335,0.76126,0.84253,0.40159,1.76252,0.97583,1.22737,0.0011486,0.0011486,0.0011486
45,41.4871,1.43757,0.92561,1.12854,0.87779,0.76126,0.84511,0.40954,1.76419,0.97751,1.22297,0.0011288,0.0011288,0.0011288
46,42.4022,1.40757,0.93351,1.1347,0.84129,0.75576,0.83058,0.41843,1.7216,0.98546,1.20278,0.001109,0.001109,0.001109
47,43.2786,1.44456,0.94908,1.13737,0.82625,0.75576,0.83501,0.41846,1.70244,0.98174,1.19915,0.0010892,0.0010892,0.0010892
48,44.179,1.41617,0.91531,1.12476,0.8066,0.76498,0.84039,0.39915,1.75952,0.97659,1.22136,0.0010694,0.0010694,0.0010694
49,45.0719,1.40745,0.92449,1.0995,0.87972,0.76498,0.85288,0.40608,1.76406,0.97053,1.22405,0.0010496,0.0010496,0.0010496
50,45.9847,1.41719,0.91892,1.11809,0.82995,0.80967,0.86602,0.39795,1.76104,0.98649,1.21362,0.0010298,0.0010298,0.0010298
51,46.8782,1.41195,0.91231,1.11709,0.81972,0.79263,0.86306,0.40732,1.75364,0.9756,1.20814,0.00101,0.00101,0.00101
52,47.7693,1.39301,0.90943,1.1159,0.86158,0.75576,0.84519,0.41267,1.73829,0.9843,1.20863,0.0009902,0.0009902,0.0009902
53,48.6567,1.37606,0.89569,1.10402,0.80907,0.76037,0.83406,0.40438,1.75383,1.00298,1.23383,0.0009704,0.0009704,0.0009704
54,49.5718,1.4172,0.8982,1.10756,0.86762,0.73272,0.84442,0.40016,1.71889,0.97598,1.20846,0.0009506,0.0009506,0.0009506
55,50.4526,1.40221,0.91045,1.11868,0.81875,0.77419,0.84414,0.41187,1.70025,0.96318,1.19773,0.0009308,0.0009308,0.0009308
56,51.3605,1.40308,0.89975,1.12203,0.85483,0.74194,0.84385,0.41586,1.72126,0.95533,1.20372,0.000911,0.000911,0.000911
57,52.2616,1.3532,0.87589,1.08276,0.85236,0.75115,0.84634,0.40887,1.72772,0.96164,1.19549,0.0008912,0.0008912,0.0008912
58,53.1642,1.3761,0.89129,1.10424,0.82916,0.80521,0.84202,0.41696,1.71038,0.9577,1.18286,0.0008714,0.0008714,0.0008714
59,54.0593,1.36088,0.88579,1.10252,0.79761,0.80645,0.84541,0.41052,1.70626,0.95229,1.19157,0.0008516,0.0008516,0.0008516
60,54.9677,1.34971,0.87987,1.1126,0.85874,0.74654,0.85551,0.41348,1.72814,0.95533,1.20441,0.0008318,0.0008318,0.0008318
61,55.8607,1.38156,0.88955,1.12198,0.86308,0.75526,0.85593,0.41983,1.69816,0.95286,1.1964,0.000812,0.000812,0.000812
62,56.8003,1.34227,0.87216,1.10315,0.8632,0.75576,0.84886,0.41021,1.72139,0.95614,1.2082,0.0007922,0.0007922,0.0007922
63,57.7251,1.3527,0.85407,1.10105,0.86048,0.73272,0.84576,0.40431,1.7424,0.95595,1.21377,0.0007724,0.0007724,0.0007724
