epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,59.0348,1.42292,0.84269,1.15105,0.76189,0.81106,0.86357,0.39804,1.79554,0.93287,1.29278,0.0011882,0.0011882,0.0011882
43,60.4677,1.36574,0.78008,1.11045,0.8089,0.76074,0.86196,0.39956,1.80051,0.89086,1.29273,0.0011684,0.0011684,0.0011684
44,61.9903,1.3884,0.8046,1.14437,0.80935,0.82028,0.87804,0.41416,1.7784,0.90131,1.28822,0.0011486,0.0011486,0.0011486
45,63.5169,1.35873,0.78275,1.11545,0.84037,0.83871,0.88643,0.40701,1.78735,0.90316,1.284,0.0011288,0.0011288,0.0011288
46,64.9959,1.32198,0.77202,1.12965,0.84992,0.82028,0.88705,0.42273,1.77237,0.8395,1.29252,0.001109,0.001109,0.001109
47,66.4627,1.35299,0.76786,1.13172,0.85222,0.82949,0.88981,0.43138,1.74996,0.81607,1.29798,0.0010892,0.0010892,0.0010892
48,67.9528,1.32297,0.76058,1.12344,0.85877,0.82488,0.89047,0.41549,1.78013,0.83749,1.31499,0.0010694,0.0010694,0.0010694
49,69.3899,1.37867,0.7801,1.11455,0.86431,0.82192,0.88194,0.41911,1.77233,0.8599,1.30966,0.0010496,0.0010496,0.0010496
50,70.849,1.32577,0.75553,1.11697,0.83795,0.83399,0.87416,0.41659,1.7492,0.90702,1.28779,0.0010298,0.0010298,0.0010298
51,72.3039,1.33962,0.76987,1.12948,0.85833,0.76959,0.86176,0.42653,1.75969,0.87915,1.28333,0.00101,0.00101,0.00101
52,73.8,1.32167,0.76377,1.11788,0.8792,0.7788,0.87042,0.42429,1.76816,0.82979,1.27355,0.0009902,0.0009902,0.0009902
53,75.2383,1.31449,0.75352,1.10292,0.87143,0.78089,0.86108,0.40441,1.79842,0.84807,1.29342,0.0009704,0.0009704,0.0009704
54,76.6938,1.3424,0.73736,1.09622,0.86886,0.76333,0.86618,0.41085,1.75759,0.8837,1.27628,0.0009506,0.0009506,0.0009506
55,78.1294,1.33501,0.76138,1.12051,0.83455,0.83684,0.88402,0.4059,1.75261,0.89117,1.27742,0.0009308,0.0009308,0.0009308
56,79.5966,1.31375,0.75677,1.11291,0.80105,0.83496,0.88615,0.43338,1.71896,0.85118,1.25939,0.000911,0.000911,0.000911
57,81.0841,1.27342,0.73152,1.08049,0.80545,0.82028,0.88583,0.44166,1.72692,0.85249,1.26632,0.0008912,0.0008912,0.0008912
58,82.6331,1.27424,0.73808,1.09301,0.82247,0.85401,0.88621,0.42794,1.75016,0.827,1.27591,0.0008714,0.0008714,0.0008714
59,84.0813,1.26116,0.72313,1.09106,0.85043,0.84332,0.88716,0.42949,1.75551,0.82498,1.28578,0.0008516,0.0008516,0.0008516
60,85.5462,1.26249,0.72033,1.09867,0.83867,0.80645,0.87415,0.44128,1.68797,0.80816,1.2563,0.0008318,0.0008318,0.0008318
61,87.0041,1.27242,0.71865,1.10058,0.82461,0.80645,0.85808,0.43771,1.70338,0.82947,1.26152,0.000812,0.000812,0.000812
62,88.4793,1.25027,0.70723,1.08945,0.85187,0.79508,0.86488,0.4293,1.73464,0.84342,1.29023,0.0007922,0.0007922,0.0007922
63,89.9491,1.22446,0.68692,1.07858,0.8726,0.75576,0.86236,0.42239,1.7462,0.8392,1.29902,0.0007724,0.0007724,0.0007724
64,91.4262,1.23994,0.69556,1.06829,0.84878,0.80182,0.85006,0.40846,1.79914,0.87247,1.32391,0.0007526,0.0007526,0.0007526
65,92.8887,1.25088,0.71473,1.09097,0.87456,0.77419,0.85115,0.41169,1.79118,0.85195,1.30682,0.0007328,0.0007328,0.0007328
66,94.3554,1.26934,0.69585,1.05995,0.85572,0.80184,0.85506,0.4208,1.76427,0.82708,1.29841,0.000713,0.000713,0.000713
67,95.8074,1.25141,0.69934,1.0636,0.84823,0.81106,0.86013,0.40982,1.79382,0.86165,1.30858,0.0006932,0.0006932,0.0006932
68,97.2662,1.18984,0.68777,1.05447,0.85662,0.79845,0.86553,0.39171,1.77878,0.937,1.27425,0.0006734,0.0006734,0.0006734
